,1,2,3,4,5,6,7,8,10,11,12,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,1,4,4,4,4,4,3,4,4,4,3,3,5,5,5,4,5,5,2,5,4,5,4,4,5,4,5,4,5,4,2,2
2,3,4,3,4,5,4,4,2,4,3,3,4,5,5,5,6,5,6,5,4,3,4,2,2,1,5,5,0,5,1,5,6
3,1,5,3,4,5,5,3,3,3,3,3,4,6,5,3,4,4,5,4,5,3,5,5,4,2,6,5,4,5,1,2,5
4,6,5,3,5,5,4,4,5,4,5,3,5,6,5,6,6,3,6,5,4,3,4,4,5,2,6,4,1,5,4,4,4
5,4,6,4,5,5,4,4,5,4,4,4,5,5,5,5,5,3,5,6,5,4,5,5,4,5,4,5,4,4,5,4,5
6,4,2,2,4,4,3,3,5,2,2,3,6,4,4,5,6,5,6,2,5,4,1,4,4,2,5,5,4,3,1,2,4
7,3,3,3,4,4,5,4,4,3,2,3,2,5,4,6,6,5,5,4,5,4,4,4,1,3,4,4,4,4,4,4,5
8,4,4,3,4,5,4,4,4,3,5,5,2,5,4,6,4,4,6,4,6,4,3,3,2,5,4,3,3,4,4,5,5
9,4,4,4,4,6,5,3,4,2,5,4,4,6,5,5,6,4,5,2,4,5,4,4,5,3,6,4,3,4,3,4,3
10,4,4,2,4,1,5,4,2,4,2,4,2,5,1,6,1,2,1,0,3,3,1,2,1,4,1,5,2,3,1,4,5
11,2,4,2,4,3,3,3,4,2,4,4,3,5,4,4,4,3,3,0,4,3,2,4,2,4,3,5,3,3,5,2,4
12,2,4,2,4,3,3,4,5,6,4,5,3,5,4,5,3,4,5,2,4,3,1,4,2,2,4,4,2,4,6,1,4
13,0,5,1,1,1,3,4,4,3,1,3,3,5,3,4,5,0,2,2,2,3,5,3,2,0,4,6,2,2,4,2,1
14,4,3,3,5,5,5,4,3,5,4,3,1,5,4,3,5,4,4,3,5,5,6,4,4,4,3,5,1,0,4,4,1
15,3,3,3,4,3,3,4,4,3,2,4,5,4,4,2,4,4,3,3,4,3,1,2,3,2,4,4,4,3,4,3,1
16,2,2,1,4,4,4,5,5,4,3,3,3,5,4,6,5,3,5,5,4,2,4,4,4,2,4,3,1,4,5,4,5
17,1,4,4,2,1,4,4,2,4,4,3,5,5,4,4,4,3,5,5,2,4,4,2,5,3,4,6,2,4,5,3,5
18,0,1,2,3,1,4,3,1,1,4,4,1,5,2,3,4,3,5,1,2,3,3,3,1,4,1,5,1,4,2,1,4
19,4,6,2,2,3,3,4,3,4,5,3,3,4,3,5,3,3,3,3,4,3,4,4,4,2,5,3,1,2,1,2,2
20,4,4,3,4,2,6,3,4,3,4,4,6,4,4,3,4,4,2,4,3,4,6,2,3,3,3,5,1,5,4,3,4
21,4,4,3,6,3,3,3,3,5,4,3,6,4,4,4,5,4,3,4,4,4,5,2,4,2,2,4,1,3,1,4,3
22,3,2,4,5,4,4,3,4,3,3,4,4,4,3,5,5,4,3,2,3,1,4,3,1,4,4,5,4,4,4,5,4
23,3,3,5,3,3,3,3,2,3,3,3,4,3,3,5,2,3,3,2,3,4,5,5,4,4,1,4,2,4,4,3,4
24,3,1,2,4,1,2,3,2,5,2,4,6,4,2,6,6,1,0,2,2,3,4,4,1,3,1,5,2,5,5,3,6
25,3,3,2,5,4,2,3,3,5,5,4,5,3,4,5,4,3,5,2,5,4,5,5,3,3,5,4,2,4,5,6,6
26,3,4,2,5,2,2,3,3,3,4,4,5,5,5,2,5,4,3,4,2,5,6,4,2,3,3,6,2,5,4,3,3
27,4,2,2,5,2,4,4,2,4,3,4,5,6,3,3,6,4,2,3,3,4,4,4,4,6,1,6,2,5,5,3,5
28,5,4,3,5,3,4,3,3,3,4,4,4,2,6,4,2,3,4,4,5,4,5,4,3,4,4,5,2,5,2,5,3
29,4,3,4,5,2,3,5,4,4,4,3,5,4,3,1,3,4,3,5,3,3,4,5,2,4,1,5,0,5,1,4,1
30,5,3,4,6,4,5,4,2,3,6,4,5,4,3,4,6,4,6,5,5,4,4,3,5,6,3,6,1,5,5,5,5
31,6,5,5,5,4,5,4,4,3,3,4,6,5,4,6,6,5,4,5,5,4,6,5,4,4,2,6,4,5,5,6,5
32,4,5,4,6,4,4,3,4,5,5,4,5,4,3,4,6,4,5,4,3,4,6,5,4,6,4,5,1,5,3,4,4
33,4,5,3,5,5,3,4,5,4,6,5,6,3,5,5,6,5,4,4,6,4,5,5,5,4,3,6,4,1,5,5,5
34,1,6,4,4,3,4,3,3,3,4,4,5,3,4,5,5,4,3,6,5,4,6,4,3,2,5,5,1,5,4,2,5
35,5,4,4,3,3,4,3,3,3,3,4,6,3,4,4,5,4,3,4,4,5,5,5,3,4,5,5,2,4,5,5,4
36,4,5,5,5,4,4,3,4,4,4,4,5,3,4,4,5,4,5,4,5,3,5,4,4,6,4,5,2,6,2,6,4
